stationbus,stationA,stationB,traveltime(stationA至stationB兩間行駛時間，秒),id,stoptime(stationA停靠時間，秒)
淡水-象山,淡水,紅樹林,175,1,0
淡水-象山,紅樹林,竹圍,136,2,25
淡水-象山,竹圍,關渡,145,3,25
淡水-象山,關渡,忠義,78,4,25
淡水-象山,忠義,復興崗,109,5,25
淡水-象山,復興崗,北投,145,6,25
淡水-象山,北投,奇岩,91,7,25
淡水-象山,奇岩,唭哩岸,73,8,25
淡水-象山,唭哩岸,石牌,100,9,25
淡水-象山,石牌,明德,61,10,25
淡水-象山,明德,芝山,76,11,25
淡水-象山,芝山,士林,91,12,25
淡水-象山,士林,劍潭,92,13,25
淡水-象山,劍潭,圓山,109,14,25
淡水-象山,圓山,民權西路,90,15,25
淡水-象山,民權西路,雙連,57,16,35
淡水-象山,雙連,中山,58,17,25
淡水-象山,中山,台北車站,65,18,30
淡水-象山,台北車站,台大醫院,63,19,45
淡水-象山,台大醫院,中正紀念堂,83,20,25
淡水-象山,中正紀念堂,東門,165,21,35
淡水-象山,東門,大安森林公園,65,22,35
淡水-象山,大安森林公園,大安,70,23,30
淡水-象山,大安,信義安和,81,24,30
淡水-象山,信義安和,台北101/世貿,81,25,30
淡水-象山,台北101/世貿,象山,93,26,30
松山-新店,松山,南京三民,138,1,0
松山-新店,南京三民,台北小巨蛋,102,2,30
松山-新店,台北小巨蛋,南京復興,84,3,30
松山-新店,南京復興,松江南京,92,4,35
松山-新店,松江南京,中山,106,5,35
松山-新店,中山,北門,114,6,35
松山-新店,北門,西門,75,7,30
松山-新店,西門,小南門,81,8,35
松山-新店,小南門,中正紀念堂,75,9,25
松山-新店,中正紀念堂,古亭,83,10,25
松山-新店,古亭,台電大樓,88,11,25
松山-新店,台電大樓,公館,67,12,25
松山-新店,公館,萬隆,119,13,25
松山-新店,萬隆,景美,87,14,25
松山-新店,景美,大坪林,89,15,25
松山-新店,大坪林,七張,75,16,25
松山-新店,七張,新店區公所,78,17,25
松山-新店,新店區公所,新店,111,18,22
七張-小碧潭,七張,小碧潭,203,1,0
北投-新北投,北投,新北投,157,1,0
南港展覽館-頂埔,南港展覽館,南港,114,1,0
南港展覽館-頂埔,南港,昆陽,105,2,25
南港展覽館-頂埔,昆陽,後山埤,99,3,25
南港展覽館-頂埔,後山埤,永春,73,4,25
南港展覽館-頂埔,永春,市政府,82,5,25
南港展覽館-頂埔,市政府,國父紀念館,72,6,28
南港展覽館-頂埔,國父紀念館,忠孝敦化,67,7,28
南港展覽館-頂埔,忠孝敦化,忠孝復興,63,8,28
南港展覽館-頂埔,忠孝復興,忠孝新生,84,9,40
南港展覽館-頂埔,忠孝新生,善導寺,76,10,28
南港展覽館-頂埔,善導寺,台北車站,64,11,30
南港展覽館-頂埔,台北車站,西門,132,12,40
南港展覽館-頂埔,西門,龍山寺,103,13,30
南港展覽館-頂埔,龍山寺,江子翠,190,14,28
南港展覽館-頂埔,江子翠,新埔,74,15,28
南港展覽館-頂埔,新埔,板橋,102,16,30
南港展覽館-頂埔,板橋,府中,89,17,25
南港展覽館-頂埔,府中,亞東醫院,92,18,25
南港展覽館-頂埔,亞東醫院,海山,142,19,25
南港展覽館-頂埔,海山,土城,106,20,25
南港展覽館-頂埔,土城,永寧,95,21,25
南港展覽館-頂埔,永寧,頂埔,180,22,25
動物園-南港展覽館,南港展覽館,南港軟體園區,78,1,0
動物園-南港展覽館,南港軟體園區,東湖,85,2,25
動物園-南港展覽館,東湖,葫洲,78,3,25
動物園-南港展覽館,葫洲,大湖公園,121,4,25
動物園-南港展覽館,大湖公園,內湖,71,5,25
動物園-南港展覽館,內湖,文德,78,6,25
動物園-南港展覽館,文德,港墘,72,7,25
動物園-南港展覽館,港墘,西湖,65,8,25
動物園-南港展覽館,西湖,劍南路,110,9,25
動物園-南港展覽館,劍南路,大直,103,10,25
動物園-南港展覽館,大直,松山機場,172,11,25
動物園-南港展覽館,松山機場,中山國中,142,12,25
動物園-南港展覽館,中山國中,南京復興,66,13,25
動物園-南港展覽館,南京復興,忠孝復興,86,14,30
動物園-南港展覽館,忠孝復興,大安,67,15,45
動物園-南港展覽館,大安,科技大樓,69,16,30
動物園-南港展覽館,科技大樓,六張犁,122,17,25
動物園-南港展覽館,六張犁,麟光,72,18,25
動物園-南港展覽館,麟光,辛亥,124,19,25
動物園-南港展覽館,辛亥,萬芳醫院,106,20,25
動物園-南港展覽館,萬芳醫院,萬芳社區,99,21,25
動物園-南港展覽館,萬芳社區,木柵,47,22,25
動物園-南港展覽館,木柵,動物園,67,23,25
南勢角-蘆洲,蘆洲,三民高中,110,1,0
南勢角-蘆洲,三民高中,徐匯中學,87,2,30
南勢角-蘆洲,徐匯中學,三和國中,82,3,30
南勢角-蘆洲,三和國中,三重國小,104,4,30
南勢角-蘆洲,三重國小,大橋頭,148,5,30
南勢角-蘆洲,大橋頭,民權西路,75,6,35
南勢角-蘆洲,民權西路,中山國小,72,7,45
南勢角-蘆洲,中山國小,行天宮,89,8,35
南勢角-蘆洲,行天宮,松江南京,75,9,35
南勢角-蘆洲,松江南京,忠孝新生,114,10,35
南勢角-蘆洲,忠孝新生,東門,118,11,35
南勢角-蘆洲,東門,古亭,192,12,35
南勢角-蘆洲,古亭,頂溪,187,13,40
南勢角-蘆洲,頂溪,永安市場,100,14,25
南勢角-蘆洲,永安市場,景安,88,15,25
南勢角-蘆洲,景安,南勢角,103,16,25
南勢角-迴龍,迴龍,丹鳳,159,1,0
南勢角-迴龍,丹鳳,輔大,110,2,25
南勢角-迴龍,輔大,新莊,130,3,25
南勢角-迴龍,新莊,頭前庄,93,4,25
南勢角-迴龍,頭前庄,先嗇宮,105,5,25
南勢角-迴龍,先嗇宮,三重,142,6,25
南勢角-迴龍,三重,菜寮,84,7,25
南勢角-迴龍,菜寮,台北橋,93,8,25
南勢角-迴龍,台北橋,大橋頭,115,9,25
南勢角-迴龍,大橋頭,民權西路,75,10,35
南勢角-迴龍,民權西路,中山國小,72,11,45
南勢角-迴龍,中山國小,行天宮,89,12,35
南勢角-迴龍,行天宮,松江南京,75,13,35
南勢角-迴龍,松江南京,忠孝新生,114,14,35
南勢角-迴龍,忠孝新生,東門,118,15,35
南勢角-迴龍,東門,古亭,192,16,35
南勢角-迴龍,古亭,頂溪,187,17,40
南勢角-迴龍,頂溪,永安市場,100,18,25
南勢角-迴龍,永安市場,景安,88,19,25
南勢角-迴龍,景安,南勢角,103,20,25
